employee_id,age,gender,marital_status,department,job_role,education_level,years_at_company,years_in_role,monthly_salary,salary_hike_pct,job_satisfaction,work_life_balance,environment_satisfaction,overtime,business_travel,num_companies_worked,distance_from_home_km,performance_rating,training_hours_last_year,attrition
EMP0018,26,Male,Married,Technology,QA Engineer,Post-Graduate,10,6,163981,24,2,4,1,No,Rarely,2,45,3,36,No
EMP0019,33,Male,Married,Sales,Account Manager,Graduate,7,5,93756,8,4,1,1,No,Frequently,2,58,4,80,No
EMP0020,33,Male,Married,Operations,Operations Manager,Graduate,1,1,52735,17,1,3,2,Yes,Frequently,1,24,3,29,No
EMP0021,49,Male,Single,Sales,Sales Executive,Post-Graduate,4,3,88093,10,2,3,2,No,Frequently,1,16,3,29,No
EMP0022,37,Male,Single,Sales,Sales Executive,Post-Graduate,15,1,113589,23,1,1,1,Yes,No Travel,4,12,3,32,Yes
EMP0023,45,Male,Single,Finance,Accounts Executive,Graduate,9,4,112016,9,3,4,1,Yes,Rarely,6,2,3,40,No
EMP0024,26,Male,Single,Sales,Account Manager,Graduate,10,4,107192,5,3,3,3,Yes,Frequently,5,32,3,48,No
EMP0025,42,Male,Married,Operations,Operations Manager,Graduate,7,0,80992,4,2,2,1,No,Rarely,3,14,3,56,No
EMP0026,26,Female,Single,Finance,Senior Accountant,Graduate,15,6,137431,25,3,4,3,No,No Travel,1,59,3,26,No
EMP0027,53,Male,Divorced,Operations,Team Lead,Graduate,0,0,52225,5,3,4,2,No,Rarely,0,2,2,41,Yes
EMP0028,22,Female,Married,HR,HR Executive,Post-Graduate,5,5,69009,25,2,2,3,Yes,No Travel,6,25,3,9,Yes
EMP0029,32,Male,Married,Finance,Senior Accountant,Graduate,2,2,82257,15,1,2,3,No,Frequently,4,54,3,64,Yes
EMP0030,31,Female,Single,Technology,DevOps Engineer,Graduate,7,4,144067,22,3,2,3,Yes,No Travel,6,38,4,1,No
EMP0031,27,Male,Single,Sales,Sales Executive,Doctorate,7,2,92640,6,1,2,2,No,Rarely,3,6,3,41,Yes
EMP0032,47,Male,Married,Operations,Operations Manager,Graduate,8,3,77884,22,2,2,1,Yes,Frequently,3,55,3,80,No
EMP0033,32,Male,Single,Sales,Sales Lead,Graduate,9,0,98768,22,3,2,3,Yes,Rarely,4,54,3,70,No
EMP0034,57,Male,Single,Operations,Operations Analyst,Post-Graduate,13,1,92415,8,1,3,3,No,Rarely,6,24,3,48,No
EMP0035,30,Male,Single,Operations,Operations Manager,Graduate,0,0,49396,13,3,3,3,No,Frequently,4,27,4,17,No
EMP0036,40,Male,Married,Operations,Process Associate,Post-Graduate,4,1,62738,19,3,2,3,No,Frequently,5,2,4,29,No
EMP0037,37,Male,Divorced,Technology,DevOps Engineer,Graduate,2,2,113699,7,4,4,2,No,Frequently,1,1,4,1,No
EMP0038,53,Male,Single,Finance,Finance Manager,Graduate,7,1,108740,16,2,2,4,No,Rarely,0,50,4,4,No
EMP0039,58,Female,Married,Finance,Accounts Executive,Doctorate,15,6,124231,12,3,3,2,No,Rarely,5,35,4,53,No
EMP0040,52,Male,Married,Sales,Business Development Manager,Graduate,8,4,98969,18,1,2,4,No,No Travel,0,11,3,28,No
EMP0041,47,Female,Married,Sales,Business Development Manager,Graduate,5,0,83051,20,3,2,4,No,Rarely,2,21,3,78,Yes
EMP0042,51,Female,Married,Sales,Account Manager,Post-Graduate,12,2,124667,16,3,2,2,Yes,No Travel,3,51,4,20,No
EMP0043,43,Male,Single,HR,Talent Acquisition Specialist,Post-Graduate,2,2,63712,15,2,4,3,No,Frequently,6,39,4,55,No
EMP0044,31,Female,Married,HR,Talent Acquisition Specialist,Post-Graduate,4,3,70474,17,2,3,3,No,Rarely,7,50,2,4,No
EMP0045,34,Male,Single,Operations,Team Lead,Graduate,13,2,95571,4,3,2,4,No,Rarely,0,8,2,24,Yes
EMP0046,23,Male,Married,Technology,DevOps Engineer,Graduate,1,1,101038,4,2,4,4,Yes,Rarely,2,30,3,45,No
EMP0047,37,Male,Single,Sales,Business Development Manager,Graduate,5,4,96147,4,4,4,2,No,Frequently,4,50,4,47,No
EMP0048,43,Male,Married,HR,HR Manager,Graduate,15,0,99692,3,2,3,2,No,No Travel,6,46,4,47,No
EMP0049,33,Male,Married,Operations,Operations Analyst,Post-Graduate,8,2,84036,11,2,3,2,Yes,Frequently,1,6,3,9,No
EMP0050,44,Female,Married,HR,HR Executive,Doctorate,7,0,87725,7,3,4,2,No,No Travel,5,21,2,34,No
EMP0051,23,Male,Single,HR,Talent Acquisition Specialist,Graduate,11,3,90775,4,1,3,3,Yes,Frequently,0,16,3,14,No
EMP0052,33,Male,Married,Technology,Tech Lead,Post-Graduate,10,3,164799,14,1,3,4,No,No Travel,6,53,3,35,No
EMP0053,50,Female,Married,Operations,Process Associate,Graduate,1,1,49832,13,4,4,2,No,Rarely,2,3,4,34,No
EMP0054,27,Female,Single,Sales,Sales Executive,Graduate,2,0,68293,3,3,4,4,No,Rarely,2,29,3,6,No
EMP0055,42,Male,Married,Sales,Sales Lead,Post-Graduate,9,4,99199,23,2,2,3,Yes,Rarely,7,8,3,70,No
EMP0056,32,Female,Married,Technology,Software Engineer,Post-Graduate,5,1,126885,8,3,4,3,No,No Travel,3,14,4,68,Yes
EMP0057,39,Male,Divorced,Finance,Finance Manager,Post-Graduate,4,4,96624,17,3,4,3,No,Rarely,1,57,2,8,No
EMP0058,55,Male,Married,Sales,Account Manager,Post-Graduate,0,0,64310,8,3,4,3,Yes,No Travel,4,24,2,19,No
EMP0059,32,Male,Married,Sales,Sales Lead,Graduate,8,2,97637,22,3,2,4,No,No Travel,4,42,3,22,No
EMP0060,55,Female,Single,Finance,Financial Analyst,Post-Graduate,0,0,80346,15,4,3,2,Yes,Rarely,2,35,3,19,No
EMP0061,52,Male,Married,HR,HR Executive,Graduate,12,6,101571,19,3,4,3,No,Frequently,5,16,3,13,No
EMP0062,32,Female,Married,Technology,Software Engineer,Post-Graduate,6,6,135248,21,3,1,2,No,Rarely,4,59,4,7,Yes
EMP0063,46,Female,Married,Finance,Financial Analyst,Post-Graduate,4,1,93323,16,4,4,1,Yes,Rarely,7,10,3,64,No
EMP0064,54,Male,Married,Technology,Data Analyst,Post-Graduate,10,4,165573,21,3,3,3,No,No Travel,7,31,3,47,No
EMP0065,35,Female,Married,Sales,Sales Executive,Post-Graduate,14,5,126368,16,3,3,4,No,Frequently,6,31,1,28,Yes
EMP0066,32,Female,Married,Finance,Finance Manager,Graduate,11,5,118291,21,4,3,1,Yes,Rarely,2,1,4,68,No
EMP0067,37,Female,Single,Sales,Sales Executive,Graduate,12,6,123074,8,4,1,4,No,Rarely,5,33,4,59,Yes
EMP0068,52,Female,Single,Operations,Operations Analyst,Graduate,12,2,82597,9,3,3,3,No,Rarely,3,39,4,63,No
EMP0069,43,Male,Married,Technology,QA Engineer,Graduate,4,0,130309,19,2,2,2,No,Rarely,2,2,3,44,No
EMP0070,58,Male,Single,Technology,QA Engineer,Graduate,1,1,103812,10,3,2,1,No,No Travel,0,22,3,48,No
EMP0071,26,Male,Married,Operations,Process Associate,Graduate,4,4,57772,4,3,3,2,No,Frequently,2,47,2,6,Yes
EMP0072,55,Male,Single,Finance,Finance Manager,Graduate,14,1,124539,7,4,3,1,No,No Travel,6,5,3,75,No
EMP0073,56,Male,Single,HR,HR Business Partner,Doctorate,15,6,102311,6,3,2,1,No,Rarely,7,34,3,75,No
EMP0074,33,Female,Married,Operations,Team Lead,Graduate,14,6,84010,3,4,1,2,No,Rarely,1,58,2,6,Yes
EMP0075,58,Female,Single,HR,HR Business Partner,Post-Graduate,5,1,67590,21,1,4,2,No,Rarely,5,13,3,53,No
EMP0076,36,Male,Single,Operations,Operations Manager,Graduate,2,0,59477,24,3,4,3,Yes,Rarely,1,53,3,31,No
EMP0077,30,Male,Married,Operations,Team Lead,Graduate,12,3,94662,11,2,4,4,No,No Travel,7,45,3,17,No
EMP0078,38,Female,Married,Finance,Finance Manager,Graduate,9,2,111077,11,2,1,1,No,Rarely,3,50,3,15,No
EMP0079,51,Female,Single,Sales,Sales Lead,Post-Graduate,6,0,86754,4,2,3,3,Yes,No Travel,5,38,4,15,Yes
EMP0080,57,Female,Married,Sales,Account Manager,Graduate,6,5,90649,7,2,4,3,Yes,Rarely,1,5,2,46,No
EMP0081,42,Male,Married,Sales,Account Manager,Post-Graduate,2,2,73608,23,1,3,3,No,No Travel,5,9,2,55,No
EMP0082,52,Female,Married,Technology,Data Analyst,Graduate,13,1,181620,18,2,4,3,No,Rarely,4,11,4,56,No
EMP0083,41,Male,Single,Technology,Tech Lead,Graduate,0,0,97968,15,4,3,3,Yes,Rarely,7,51,2,57,Yes
EMP0084,52,Male,Married,Technology,Software Engineer,Graduate,2,0,110961,8,1,3,2,No,No Travel,5,43,3,35,No
EMP0085,23,Male,Single,Technology,DevOps Engineer,Post-Graduate,11,5,175166,25,4,3,3,No,Rarely,1,4,3,21,No
EMP0086,47,Female,Divorced,Operations,Team Lead,Graduate,10,0,78265,12,2,3,4,Yes,Rarely,1,54,3,40,No
EMP0087,31,Male,Single,Finance,Financial Analyst,Graduate,11,0,118905,7,3,3,2,Yes,Rarely,4,32,3,64,No
EMP0088,48,Male,Married,Technology,Data Analyst,Graduate,5,4,130921,15,2,2,2,No,Rarely,1,16,3,0,Yes
EMP0089,47,Male,Married,Technology,Data Analyst,Doctorate,13,0,180269,19,4,2,4,Yes,No Travel,5,1,3,26,No
EMP0090,25,Female,Married,Technology,Data Analyst,Doctorate,6,3,137175,10,3,3,3,No,Rarely,2,51,1,36,No
EMP0091,28,Male,Single,HR,HR Business Partner,Graduate,0,0,62254,10,2,3,1,No,Rarely,2,8,3,68,No
EMP0092,46,Female,Married,Operations,Operations Analyst,Graduate,3,0,66815,8,2,1,3,Yes,Rarely,6,55,3,53,No
EMP0093,30,Male,Single,Sales,Sales Executive,Post-Graduate,4,2,87498,13,3,4,2,No,No Travel,1,10,3,30,Yes
EMP0094,32,Female,Married,Sales,Sales Lead,Graduate,6,2,96451,23,3,2,1,No,No Travel,7,52,3,73,No
EMP0095,23,Female,Married,Finance,Senior Accountant,Graduate,11,5,117943,16,3,2,2,Yes,Rarely,5,40,4,50,Yes
EMP0096,26,Male,Married,Technology,QA Engineer,Post-Graduate,14,6,174795,20,4,3,2,Yes,No Travel,5,54,4,30,No
EMP0097,44,Male,Single,HR,HR Executive,Post-Graduate,4,4,67597,22,2,2,3,No,No Travel,6,35,1,16,No
EMP0098,44,Female,Single,Operations,Operations Analyst,Graduate,15,0,90468,8,3,4,3,No,No Travel,5,21,4,21,No
EMP0099,33,Male,Single,Operations,Operations Manager,Graduate,0,0,56190,19,4,4,3,Yes,Rarely,0,43,3,53,Yes
EMP0100,23,Female,Single,Technology,QA Engineer,Graduate,1,1,99446,18,4,4,2,Yes,No Travel,0,19,3,22,No
EMP0101,52,Male,Married,Operations,Team Lead,Graduate,3,3,66167,14,3,4,3,Yes,Rarely,3,8,1,47,No
EMP0102,55,Male,Married,Operations,Process Associate,Graduate,9,5,81742,22,3,1,2,No,Rarely,5,16,3,77,No
EMP0103,52,Male,Married,Finance,Finance Manager,Graduate,15,6,126241,16,4,3,3,Yes,No Travel,3,17,4,55,No
EMP0104,22,Female,Married,Sales,Sales Lead,Graduate,7,5,97458,19,4,3,3,No,Frequently,4,56,4,45,No
EMP0105,56,Female,Married,Technology,Data Analyst,Post-Graduate,4,3,132239,6,4,3,2,No,Rarely,6,42,4,70,No
EMP0106,29,Male,Single,Finance,Finance Manager,Graduate,4,2,99141,11,4,2,4,No,Rarely,6,16,4,44,No
EMP0107,29,Male,Married,Sales,Account Manager,Post-Graduate,12,2,116700,7,1,2,1,Yes,No Travel,2,34,3,47,Yes
EMP0108,57,Female,Single,Technology,Data Analyst,Graduate,2,1,115695,5,3,2,3,Yes,Frequently,4,46,4,68,No
EMP0109,49,Male,Divorced,Finance,Finance Manager,Graduate,4,3,96341,19,3,2,3,Yes,No Travel,7,42,3,21,No
EMP0110,51,Male,Single,Operations,Team Lead,Graduate,3,3,65120,6,4,3,3,No,No Travel,3,30,3,69,No
EMP0111,57,Female,Married,Sales,Sales Executive,Post-Graduate,5,0,89053,22,2,2,3,No,Rarely,7,36,3,58,No
EMP0112,58,Female,Married,Finance,Accounts Executive,Graduate,13,6,136902,5,4,3,3,Yes,No Travel,7,19,3,69,No
EMP0113,48,Male,Married,Finance,Accounts Executive,Graduate,0,0,69074,4,4,4,4,No,No Travel,7,42,4,8,No
EMP0114,56,Male,Single,Technology,Tech Lead,Graduate,9,6,167274,13,2,2,3,No,Frequently,0,4,4,36,No
EMP0115,51,Male,Married,Finance,Financial Analyst,Post-Graduate,6,5,93657,20,3,3,4,Yes,Rarely,1,37,3,45,No
EMP0116,22,Female,Married,Technology,Data Analyst,Post-Graduate,2,2,114451,21,2,3,3,No,No Travel,3,29,3,5,No
EMP0117,31,Female,Married,Sales,Sales Executive,Graduate,1,1,71454,5,2,3,4,No,Rarely,1,45,2,67,No
EMP0118,34,Male,Married,Operations,Operations Manager,Graduate,11,5,84690,25,4,4,3,No,Rarely,2,46,3,6,No
EMP0119,48,Male,Single,HR,Talent Acquisition Specialist,Graduate,7,6,78145,4,2,3,2,Yes,No Travel,1,56,2,74,No
EMP0120,26,Male,Divorced,Sales,Sales Executive,Post-Graduate,0,0,68762,4,3,3,2,Yes,Rarely,5,41,3,17,Yes
EMP0121,48,Female,Single,Sales,Sales Lead,Post-Graduate,6,6,96168,17,2,3,3,No,No Travel,0,49,3,22,No
EMP0122,26,Male,Married,Sales,Account Manager,Post-Graduate,5,5,86450,20,4,2,3,Yes,Rarely,7,51,3,3,Yes
EMP0123,39,Female,Married,HR,Talent Acquisition Specialist,Post-Graduate,2,2,66232,11,1,2,3,No,Rarely,2,49,3,56,Yes
EMP0124,33,Male,Married,Technology,DevOps Engineer,Graduate,13,6,180269,13,3,4,4,No,Rarely,3,6,4,56,No
EMP0125,51,Female,Single,Sales,Sales Executive,Post-Graduate,5,1,87652,18,3,1,1,No,No Travel,1,57,3,21,No
EMP0126,22,Male,Single,Sales,Sales Lead,Post-Graduate,10,0,111702,5,3,4,3,No,Rarely,0,23,3,66,No
EMP0127,40,Male,Married,Sales,Business Development Manager,Graduate,6,1,99524,22,4,3,1,Yes,Rarely,6,1,4,7,No
EMP0128,22,Male,Single,Operations,Process Associate,Doctorate,15,3,96301,3,1,3,3,Yes,No Travel,5,21,2,2,No
EMP0129,34,Female,Married,Operations,Operations Manager,Post-Graduate,5,3,72972,19,4,4,3,No,Rarely,7,31,4,42,No
EMP0130,34,Female,Married,Technology,QA Engineer,Graduate,1,0,109432,18,3,2,3,Yes,Rarely,1,56,3,20,No
EMP0131,46,Female,Married,Sales,Business Development Manager,Post-Graduate,9,2,102552,18,4,4,2,Yes,Frequently,7,32,4,48,No
EMP0132,46,Male,Married,Finance,Financial Analyst,Graduate,12,4,128766,13,2,4,3,No,No Travel,5,8,1,31,No
EMP0133,48,Female,Married,Technology,QA Engineer,Graduate,11,1,173528,18,3,2,4,No,Rarely,6,9,2,65,Yes
EMP0134,41,Female,Married,Finance,Senior Accountant,Post-Graduate,0,0,70235,21,3,3,4,No,Frequently,6,14,3,42,No
EMP0135,26,Male,Married,Technology,Tech Lead,Graduate,4,4,130300,15,3,4,4,No,No Travel,1,22,4,69,Yes
EMP0136,48,Female,Married,HR,Talent Acquisition Specialist,Doctorate,4,4,69897,22,4,2,3,No,Rarely,7,16,4,74,No
EMP0137,50,Male,Divorced,Technology,QA Engineer,Graduate,1,1,106923,8,3,3,3,No,Rarely,4,14,2,20,Yes
EMP0138,43,Male,Married,Sales,Sales Executive,Graduate,3,0,81573,19,1,4,4,No,No Travel,4,44,4,34,No
EMP0139,22,Male,Married,Sales,Business Development Manager,Doctorate,14,5,127710,12,1,1,3,No,No Travel,4,10,3,2,No
EMP0140,24,Male,Single,Technology,Data Analyst,Graduate,9,5,157172,9,1,4,2,Yes,Rarely,5,53,2,21,No
EMP0141,49,Male,Single,Operations,Team Lead,Post-Graduate,11,4,94529,8,3,3,3,No,Rarely,3,50,3,73,No
EMP0142,25,Female,Married,Finance,Financial Analyst,Graduate,1,1,72573,3,2,3,3,No,Frequently,0,23,3,42,No
EMP0143,55,Male,Single,Finance,Finance Manager,Post-Graduate,14,0,123531,22,1,4,3,Yes,Rarely,5,44,1,29,No
EMP0144,54,Male,Married,Technology,Tech Lead,Graduate,6,2,145107,21,3,2,3,No,No Travel,6,15,3,12,Yes
EMP0145,25,Male,Married,Sales,Business Development Manager,Post-Graduate,9,5,106369,10,4,3,3,Yes,No Travel,1,13,3,55,No
EMP0146,51,Male,Divorced,HR,HR Manager,Post-Graduate,8,3,77950,15,4,4,3,No,Rarely,2,34,4,73,No
EMP0147,25,Female,Married,HR,Talent Acquisition Specialist,Graduate,8,6,80030,4,4,3,4,Yes,Rarely,4,38,3,34,No
EMP0148,29,Male,Married,Sales,Sales Executive,Graduate,9,3,106835,9,2,2,3,No,Rarely,1,37,2,27,No
EMP0149,42,Male,Married,Finance,Financial Analyst,Graduate,15,3,132428,15,2,4,4,Yes,Rarely,4,35,3,44,No
EMP0150,33,Female,Married,Technology,QA Engineer,Graduate,11,6,174434,6,1,2,1,No,Rarely,7,24,3,65,No
EMP0151,33,Female,Married,HR,HR Manager,Post-Graduate,4,1,71286,4,3,2,2,Yes,Frequently,1,14,3,78,No
EMP0152,36,Male,Married,Technology,Tech Lead,Doctorate,7,1,154158,4,3,2,4,No,No Travel,2,40,3,66,No
EMP0153,35,Female,Married,Sales,Business Development Manager,Graduate,0,0,59481,15,1,3,3,No,Frequently,4,29,4,44,Yes
EMP0154,38,Male,Married,Technology,Data Analyst,Graduate,15,1,184612,11,4,3,3,Yes,Rarely,5,32,3,80,No
EMP0155,38,Male,Single,Sales,Business Development Manager,Graduate,1,1,76884,14,3,2,2,Yes,No Travel,3,13,4,1,No
EMP0156,55,Female,Divorced,Sales,Sales Executive,Graduate,2,2,81816,15,1,3,2,Yes,Frequently,7,59,3,14,Yes
EMP0157,48,Male,Married,Sales,Sales Lead,Post-Graduate,6,5,100296,17,3,2,3,No,Rarely,4,48,3,56,No
EMP0158,46,Male,Single,Technology,Software Engineer,Graduate,11,1,168150,16,2,3,3,Yes,Rarely,1,58,3,25,Yes
EMP0159,38,Female,Married,Finance,Senior Accountant,Graduate,4,4,94945,24,1,3,3,Yes,Rarely,4,52,3,66,No
EMP0160,46,Male,Divorced,Finance,Finance Manager,Doctorate,1,1,81746,24,4,4,3,Yes,Rarely,2,15,3,0,No
EMP0161,32,Female,Married,Sales,Business Development Manager,Post-Graduate,10,1,117715,9,1,2,4,Yes,Frequently,3,59,4,59,No
EMP0162,45,Male,Married,Operations,Process Associate,Post-Graduate,5,5,66833,17,3,4,4,No,Rarely,2,36,3,53,No
EMP0163,56,Female,Single,Finance,Accounts Executive,Graduate,2,2,83972,18,3,3,3,Yes,Rarely,2,35,4,61,No
EMP0164,32,Male,Single,Technology,Tech Lead,Graduate,7,0,148280,7,3,3,3,Yes,Rarely,2,56,3,48,No
EMP0165,48,Male,Single,Technology,Software Engineer,Graduate,7,5,143177,8,2,3,3,No,Rarely,4,27,4,45,No
EMP0166,26,Male,Married,HR,Talent Acquisition Specialist,Graduate,3,2,66230,4,2,2,4,No,Rarely,1,4,3,9,Yes
EMP0167,44,Male,Married,Operations,Operations Manager,Graduate,7,2,72349,18,4,1,4,Yes,No Travel,1,24,3,67,No
EMP0168,39,Female,Married,Finance,Finance Manager,Graduate,12,6,133115,12,2,1,2,No,Rarely,0,41,3,39,No
EMP0169,56,Male,Married,Operations,Operations Analyst,Doctorate,8,2,77012,3,1,3,4,No,Rarely,4,31,4,50,No
EMP0170,50,Female,Married,Finance,Accounts Executive,Post-Graduate,9,5,109756,4,3,4,3,No,Frequently,6,48,3,30,Yes
EMP0171,29,Female,Married,Sales,Sales Executive,Graduate,10,2,112490,12,3,3,1,Yes,No Travel,0,28,3,50,No
EMP0172,47,Female,Single,Sales,Account Manager,Graduate,0,0,60075,7,3,3,2,Yes,No Travel,0,11,4,45,Yes
EMP0173,30,Male,Married,Operations,Team Lead,Post-Graduate,14,0,91687,19,3,2,4,No,Rarely,3,16,3,22,No
EMP0174,38,Male,Married,Operations,Operations Manager,Graduate,10,5,90514,15,3,4,4,Yes,Rarely,3,45,1,17,No
EMP0175,24,Female,Divorced,Operations,Team Lead,Graduate,9,0,80304,22,3,3,3,No,Frequently,1,53,3,27,No
EMP0176,36,Male,Married,Operations,Team Lead,Post-Graduate,15,4,92691,11,3,3,2,No,No Travel,6,59,3,38,No
EMP0177,27,Male,Divorced,Operations,Operations Analyst,Graduate,1,1,49664,4,2,3,1,No,Frequently,5,27,2,31,No
EMP0178,35,Female,Single,HR,HR Executive,Graduate,11,0,101129,23,4,4,2,No,Rarely,4,5,4,12,No
EMP0179,42,Female,Married,Finance,Senior Accountant,Graduate,1,1,84563,18,3,2,3,Yes,Rarely,5,43,4,31,No
EMP0180,35,Female,Married,Operations,Process Associate,Graduate,9,3,76823,8,1,3,1,Yes,No Travel,7,51,4,65,Yes
EMP0181,31,Female,Married,Technology,Software Engineer,Graduate,2,2,118311,22,3,2,4,Yes,No Travel,5,2,2,37,Yes
EMP0182,57,Male,Single,Sales,Sales Lead,Post-Graduate,5,3,91578,23,4,3,3,No,No Travel,5,12,3,38,No
EMP0183,47,Female,Single,Sales,Sales Lead,Graduate,0,0,62398,10,2,2,3,No,Frequently,3,13,3,16,No
EMP0184,49,Male,Married,Operations,Operations Analyst,Post-Graduate,9,0,74943,9,2,3,3,No,Rarely,2,19,2,69,No
EMP0185,40,Male,Married,Finance,Senior Accountant,Graduate,10,3,119225,20,3,3,1,Yes,Frequently,5,42,3,13,No
EMP0186,43,Female,Single,Finance,Financial Analyst,Graduate,8,2,106457,18,4,3,4,No,No Travel,7,10,2,35,No
EMP0187,58,Female,Single,Operations,Operations Manager,Post-Graduate,6,6,65015,10,2,4,3,No,No Travel,6,3,3,58,No
EMP0188,38,Female,Single,Sales,Sales Executive,Doctorate,4,1,77646,13,4,3,2,Yes,Frequently,4,11,3,22,Yes
EMP0189,38,Male,Single,Technology,Software Engineer,Graduate,7,6,140108,12,2,4,1,Yes,Rarely,6,13,3,46,No
EMP0190,42,Male,Single,Sales,Business Development Manager,Graduate,12,2,112833,6,2,2,3,Yes,Frequently,5,60,3,71,Yes
EMP0191,26,Female,Divorced,Technology,DevOps Engineer,Post-Graduate,15,2,181134,21,2,2,2,Yes,Rarely,0,27,4,70,Yes
EMP0192,22,Male,Single,HR,HR Executive,Graduate,9,0,83260,13,1,3,3,No,Rarely,2,16,2,72,Yes
EMP0193,57,Female,Married,HR,Talent Acquisition Specialist,Doctorate,14,5,103238,8,3,4,2,No,No Travel,3,53,2,34,No
EMP0194,41,Male,Married,Finance,Senior Accountant,Doctorate,14,0,131586,21,4,4,4,No,Frequently,0,49,4,59,No
EMP0195,27,Male,Married,Technology,Tech Lead,Post-Graduate,13,1,187349,8,1,4,2,Yes,Rarely,2,6,2,15,No
EMP0196,50,Female,Married,Technology,Software Engineer,Post-Graduate,4,1,127330,16,3,3,2,No,Rarely,4,52,2,36,Yes
EMP0197,39,Male,Single,Sales,Business Development Manager,Post-Graduate,6,2,99704,14,4,4,3,No,No Travel,5,24,3,13,No
EMP0198,23,Male,Divorced,Operations,Process Associate,Graduate,11,5,81993,3,3,3,4,No,Rarely,6,19,3,13,No
EMP0199,30,Female,Married,Technology,DevOps Engineer,Graduate,6,1,136221,15,2,4,4,No,No Travel,5,35,3,78,Yes
EMP0200,44,Male,Married,Sales,Business Development Manager,Graduate,7,0,104804,18,4,3,1,No,Rarely,5,1,2,6,No
EMP0201,45,Male,Single,Sales,Sales Lead,Post-Graduate,15,1,126620,17,1,3,3,Yes,No Travel,6,23,4,74,Yes
EMP0202,27,Male,Single,Technology,Data Analyst,Graduate,10,1,160842,17,1,3,4,No,Rarely,7,47,4,34,No
EMP0203,35,Male,Married,Operations,Operations Manager,Graduate,13,3,84945,3,1,4,3,Yes,Rarely,4,56,3,23,No
EMP0204,23,Male,Married,Finance,Financial Analyst,Doctorate,9,1,111153,23,3,4,1,No,No Travel,7,17,2,55,No
EMP0205,38,Male,Divorced,Sales,Account Manager,Graduate,10,1,105340,7,4,2,3,Yes,Rarely,1,39,1,11,No
EMP0206,43,Male,Single,Sales,Account Manager,Post-Graduate,5,3,96236,23,3,2,1,No,No Travel,4,52,3,35,No
EMP0207,35,Female,Single,Technology,QA Engineer,Graduate,0,0,95155,20,1,3,1,Yes,Rarely,4,9,3,66,No
EMP0208,44,Male,Single,HR,Talent Acquisition Specialist,Graduate,0,0,59134,23,3,3,2,No,Rarely,7,51,3,17,No
EMP0209,53,Male,Single,Sales,Sales Executive,Post-Graduate,6,6,90962,24,3,4,2,Yes,Rarely,4,47,3,29,Yes
EMP0210,37,Male,Single,Sales,Sales Executive,Graduate,7,1,104330,21,3,4,3,Yes,No Travel,5,22,4,23,No
EMP0211,55,Female,Single,HR,HR Business Partner,Post-Graduate,15,1,94976,6,2,2,3,No,Rarely,6,23,3,12,No
EMP0212,36,Female,Married,HR,Talent Acquisition Specialist,Graduate,9,1,85931,10,2,3,2,Yes,Rarely,1,36,3,14,No
